title,link,publication_date,abstract,conclusions,"ml_techniques: (ex: [('Traditional ML', ['regression', 'decision tree', 'svm', 'k-means']), ('DNN', ['cnn', 'rnn', 'lstm', 'deep learning']), ('Gen AI', ['transformer', 'gan', 'diffusion model', 'bert'])])","security_privacy: (ex: [('Attack Types', ['evasion', 'poisoning', 'backdoor', 'membership inference', 'model inversion', 'data reconstruction', 'untargeted poisoning', 'energy latency attack']), ('Attacker Identity', ['patient', 'healthcare practitioner', 'ml service provider', '3rd-party healthcare organization', 'cybercriminals', 'business competitors']), ('Attacker Capability', ['training data control', 'model control', 'testing data control', 'query access', 'explanation access'])])"
Prediction and risk assessment of sepsis-associated encephalopathy in ICU based on interpretable machine learning,https://www.nature.com/articles/s41598-022-27134-6,31 Dec 2022,"Sepsis-associated encephalopathy (SAE) is a major complication of sepsis and is associated with high mortality and poor long-term prognosis. The purpose of this study is to develop interpretable machine learning models to predict the occurrence of SAE after ICU admission and implement the individual prediction and analysis. Patients with sepsis admitted to ICU were included. SAE was diagnosed as glasgow coma score (GCS) less than 15. Statistical analysis at baseline was performed between SAE and non-SAE. Six machine learning classifiers were employed to predict the occurrence of SAE, and the adjustment of model super parameters was performed by using Bayesian optimization method. Finally, the optimal algorithm was selected according to the prediction efficiency. In addition, professional physicians were invited to evaluate our model prediction results for further quantitative assessment of the model interpretability. The preliminary analysis of variance showed significant differences in the incidence of SAE among patients with pathogen infection. There were significant differences in physical indicators like respiratory rate, temperature, SpO2 and mean arterial pressure (P < 0.001). In addition, the laboratory results were also significantly different. The optimal classification model (XGBoost) indicated that the best risk factors (cut-off points) were creatinine (1.1 mg/dl), mean respiratory rate (18), pH (7.38), age (72), chlorine (101 mmol/L), sodium (138.5 k/ul), SAPSII score (23), platelet count (160), and phosphorus (2.4 and 5.0 mg/dL). The ranked features derived from the best model (AUC is 0.8837) were mechanical ventilation, duration of mechanical ventilation, phosphorus, SOFA score, and vasopressin usage. The SAE risk prediction model based on XGBoost created here can make very accurate predictions using simple indicators and support the visual explanation. The interpretable model was effectively evaluated by professional physicians and can help them predict the occurrence of SAE more intuitively.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: membership inference; Attacker Identity: patient; Attacker Capability: 
Reverse engineering for reconstructing baseline features of dry age-related macular degeneration in optical coherence tomography,https://www.nature.com/articles/s41598-022-27140-8,31 Dec 2022,"Age-related macular degeneration (AMD) is the most widespread cause of blindness and the identification of baseline AMD features or biomarkers is critical for early intervention. Optical coherence tomography (OCT) imaging produces a 3D volume consisting of cross sections of retinal tissue while fundus fluorescence (FAF) imaging produces a 2D mapping of retina. FAF has been a good standard for assessing dry AMD late-stage geographic atrophy (GA) while OCT has been used for assessing early AMD biomarkers beyond as well. However, previous approaches in large extent defined AMD features subjectively based on clinicians’ observation. Deep learning—an objective artificial intelligence approach, may enable to discover ’true’ salient AMD features. We develop a novel reverse engineering approach which bases on the backbone of a fully convolutional neural network to objectively identify and visualize AMD early biomarkers in OCT from baseline exams before significant atrophy occurs. Utilizing manually annotated GA regions on FAF from a follow-up visit as ground truth, we segment GA regions and reconstruct early AMD features in baseline OCT volumes. In this preliminary exploration, compared with ground truth, we achieve baseline GA segmentation accuracy of 0.95 and overlapping ratio of 0.65. The reconstructions consistently highlight that large druse and druse clusters with or without mixed hyper-reflective focus lesion on baseline OCT cause the conversion of GA after 12 months. However, hyper-reflective focus lesions and subretinal drusenoid deposit lesions alone are not seen such conversion after 12 months. Further research with larger dataset would be needed to verify these findings.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Revelation of microcracks as tooth structural element by X-ray tomography and machine learning,https://www.nature.com/articles/s41598-022-27062-5,28 Dec 2022,"Although teeth microcracks (MCs) have long been considered more of an aesthetic problem, their exact role in the structure of a tooth and impact on its functionality is still unknown. The aim of this study was to reveal the possibilities of an X-ray micro-computed tomography (\(\mu\)CT) in combination with convolutional neural network (CNN) assisted voxel classification and volume segmentation for three-dimensional (3D) qualitative analysis of tooth microstructure and verify this approach with four extracted human premolars. Samples were scanned using a \(\mu\)CT instrument (Xradia 520 Versa; ZEISS) and segmented with CNN to identify enamel, dentin, and cracks. A new CNN image segmentation model was trained based on “Multiclass semantic segmentation using DeepLabV3+” example and was implemented with “TensorFlow”. The technique which was used allowed 3D characterization of all MCs of a tooth, regardless of the volume of the tooth in which they begin and extend, and the evaluation of the arrangement of cracks and their structural features. The proposed method revealed an intricate star-shaped network of MCs covering most of the inner tooth, and the main crack planes in all samples were arranged radially in two almost perpendicular directions, suggesting that the cracks could be considered as a planar structure.","The presented novel technique—using X-ray \(\mu\)CT in combination with CNN assisted segmentation - reveals the possibilities for a non-destructive and comprehensive 3D qualitative analysis of tooth microstructure. This method allows 3D characterization of all MCs of a tooth, regardless of the volume of the tooth in which they begin and extend, as well as the evaluation of the arrangement of cracks and their structural features. Anatomical characteristics of the tooth, such as enamel thickness, surface convexity or roughness, should no longer be a barrier to analyzing MCs with the described technique.Using the proposed approach, a network of MCs inside all four healthy teeth (with or without visible MCs on the buccal surface) has been revealed, suggesting that the cracks could be considered as one of the structural and possibly functional (i.e. serving the function of redistribution of forces) elements of the tooth, with a protective, rather than a damaging function.Detailed volumetric imaging of the MCs of a tooth expands our understanding of the cracking pattern in natural hard materials and allows us to gain more insight into how biologically inspired structures could be designed to predict the propagation of cracks in solid materials. From a clinical point of view, there is a need to revise the definition of MC that has been used so far, to re-evaluate the role and impact of these cracks on the integrity and longevity of the tooth, and to develop new algorithms for the monitoring and treatment of teeth with MCs in daily clinical practice.","DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Diagnostic potential of the amniotic fluid cells transcriptome in deciphering mendelian disease: a proof-of-concept,https://www.nature.com/articles/s41525-022-00347-4,28 Dec 2022,"RNA sequencing (RNA-seq) is emerging in genetic diagnoses as it provides functional support for the interpretation of variants of uncertain significance. However, the use of amniotic fluid (AF) cells for RNA-seq has not yet been explored. Here, we examined the expression of clinically relevant genes in AF cells (n = 48) compared with whole blood and fibroblasts. The number of well-expressed genes in AF cells was comparable to that in fibroblasts and much higher than that in blood across different disease categories. We found AF cells RNA-seq feasible and beneficial in prenatal diagnosis (n = 4) as transcriptomic data elucidated the molecular consequence leading to the pathogenicity upgrade of variants in CHD7 and COL1A2 and revising the in silico prediction of a variant in MYRF. AF cells RNA-seq could become a reasonable choice for postnatal patients with advantages over fibroblasts and blood as it prevents invasive procedures.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Predicting graft failure in pediatric liver transplantation based on early biomarkers using machine learning models,https://www.nature.com/articles/s41598-022-25900-0,27 Dec 2022,"The early detection of graft failure in pediatric liver transplantation is crucial for appropriate intervention. Graft failure is associated with numerous perioperative risk factors. This study aimed to develop an individualized predictive model for 90-days graft failure in pediatric liver transplantation using machine learning methods. We conducted a single-center retrospective cohort study. A total of 87 liver transplantation cases performed in patients aged < 12 years at the Severance Hospital between January 2010 and September 2020 were included as data samples. Preoperative conditions of recipients and donors, intraoperative care, postoperative serial laboratory parameters, and events observed within seven days of surgery were collected as features. A least absolute shrinkage and selection operator (LASSO) -based method was used for feature selection to overcome the high dimensionality and collinearity of variables. Among 146 features, four variables were selected as the resultant features, namely, preoperative hepatic encephalopathy, sodium level at the end of surgery, hepatic artery thrombosis, and total bilirubin level on postoperative day 7. These features were selected from different times and represent distinct clinical aspects. The model with logistic regression demonstrated the best prediction performance among various machine learning methods tested (area under the receiver operating characteristic curve (AUROC) = 0.898 and area under the precision–recall curve (AUPR) = 0.882). The risk scoring system developed based on the logistic regression model showed an AUROC of 0.910 and an AUPR of 0.830. Together, the prediction of graft failure in pediatric liver transplantation using the proposed machine learning model exhibited superior discrimination power and, therefore, can provide valuable information to clinicians for their decision making during the postoperative management of the patients.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
A standalone incompatible insect technique enables mosquito suppression in the urban subtropics,https://www.nature.com/articles/s42003-022-04332-6,27 Dec 2022,"The strong suppression of Aedes albopictus on two Guangzhou islands in China has been successfully achieved by releasing males with an artificial triple-Wolbachia infection. However, it requires the use of radiation to sterilize residual females to prevent population replacement. To develop a highly effective tool for dengue control, we tested a standalone incompatible insect technique (IIT) to control A. albopictus in the urban area of Changsha, an inland city where dengue recently emerged. Male mosquitoes were produced in a mass rearing facility in Guangzhou and transported over 670 km under low temperature to the release site. After a once-per-week release with high numbers of males (phase I) and a subsequent twice-per-week release with low numbers of males (phase II), the average numbers of hatched eggs and female adults collected weekly per trap were reduced by 97% and 85%, respectively. The population suppression caused a 94% decrease in mosquito biting at the release site compared to the control site. Remarkably, this strong suppression was achieved using only 28% of the number of males released in a previous trial. Despite the lack of irradiation to sterilize residual females, no triple-infected mosquitoes were detected in the field post release based on the monitoring of adult and larval A. albopictus populations for two years, indicating that population replacement was prevented. Our results support the feasibility of implementing a standalone IIT for dengue control in urban areas.",Conclusions not available,"DNN, Gen AI",Attack Types: ; Attacker Identity: ; Attacker Capability: 
A new strategy for the early detection of alzheimer disease stages using multifractal geometry analysis based on K-Nearest Neighbor algorithm,https://www.nature.com/articles/s41598-022-26958-6,26 Dec 2022,"Alzheimer's Disease (AD) is considered one of the most diseases that much prevalent among elderly people all over the world. AD is an incurable neurodegenerative disease affecting cognitive functions and were characterized by progressive and collective functions deteriorating. Remarkably, early detection of AD is essential for the development of new and invented treatment strategies. As Dementia causes irreversible damage to the brain neurons and leads to changes in its structure that can be described adequately within the framework of multifractals. Hence, the present work focus on developing a promising and efficient computing technique to pre-process and classify the AD disease especially in the early stages using multifractal geometry to extract the most changeable features due to AD. Then, A machine learning classification algorithm (K-Nearest Neighbor) has been implemented in order to classify and detect the main four early stages of AD. Two datasets have been used to ensure the validation of the proposed methodology. The proposed technique has achieved 99.4% accuracy and 100% sensitivity. The comparative results show that the proposed classification technique outperforms is recent techniques in terms of performance measures.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
A large language model for electronic health records,https://www.nature.com/articles/s41746-022-00742-2,26 Dec 2022,"There is an increasing interest in developing artificial intelligence (AI) systems to process and interpret electronic health records (EHRs). Natural language processing (NLP) powered by pretrained language models is the key technology for medical AI systems utilizing clinical narratives. However, there are few clinical language models, the largest of which trained in the clinical domain is comparatively small at 110 million parameters (compared with billions of parameters in the general domain). It is not clear how large clinical language models with billions of parameters can help medical AI systems utilize unstructured EHRs. In this study, we develop from scratch a large clinical language model—GatorTron—using >90 billion words of text (including >82 billion words of de-identified clinical text) and systematically evaluate it on five clinical NLP tasks including clinical concept extraction, medical relation extraction, semantic textual similarity, natural language inference (NLI), and medical question answering (MQA). We examine how (1) scaling up the number of parameters and (2) scaling up the size of the training data could benefit these NLP tasks. GatorTron models scale up the clinical language model from 110 million to 8.9 billion parameters and improve five clinical NLP tasks (e.g., 9.6% and 9.5% improvement in accuracy for NLI and MQA), which can be applied to medical AI systems to improve healthcare delivery. The GatorTron models are publicly available at: https://catalog.ngc.nvidia.com/orgs/nvidia/teams/clara/models/gatortron_og.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Development and validation of a predictive scoring system for in-hospital mortality in COVID-19 Egyptian patients: a retrospective study,https://www.nature.com/articles/s41598-022-26471-w,26 Dec 2022,"SARS-CoV-2 virus has rapidly spread worldwide since December 2019, causing COVID-19 disease. In-hospital mortality is a common indicator for evaluating treatment outcomes. Therefore, the developing and validating a simple score system from observational data could assist in modulating the management procedures. A retrospective cohort study included all data records of patients with positive PCR for SARS-CoV-2. The factors that associated with mortality were analyzed, then allocation of potential predictors of mortality was executed using different logistic regression modeling, subsequently scoring system was developed from the most weighted predictors. The mortality rate of patients with COVID-19 pneumonia was 28.5% and 28.74%, respectively. The most significant factors that affected in-hospital mortality were old age (> 60 years), delay in hospital admission (> 4 days), high neutrophil/lymphocyte ratio “NLR” (> 3); higher computed tomography severity score; and CT-SS (> 20), in addition to using remdesivir and tocilizumab in the treatment protocol (P < 0.001 for all). The validity of the newly performed score was significant; the AUC was 85%, P < 0.001, and its prognostic utility was good; the AUC was 75%, P < 0.001. The prognostic utility of newly developed score system (EGY.Score) was excellent and could be used to adjust the treatment strategy of highly at-risk patients with COVID-19 pneumonia.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Transition in vaginal Lactobacillus species during pregnancy and prediction of preterm birth in Korean women,https://www.nature.com/articles/s41598-022-26058-5,24 Dec 2022,"The predominance of vaginal Lactobacillus species, specifically L. crispatus, is important for pregnancy maintenance, but varies by race. The composition of the vaginal microbiome can affect susceptibility to adverse pregnancy outcomes. We performed 16S rRNA gene amplicon sequencing on vaginal swabs taken from Korean pregnant women. Here, we report the transition of Lactobacillus spp. in samples of full-term birth (FTB) collected longitudinally in the second and third trimesters of pregnancy in a cohort study (n = 23) and their association with Lactobacillus abundance and preterm birth (PTB) in a case–control study (n = 200). Lactobacillus species, which was dominant in FTB samples including those that received interventions in the second trimester, did not change until 37 weeks of gestation. However, L. crispatus was replaced by other Lactobacillus species after 37 weeks. The PTB risk showed a closer association with the Lactobacillus abundance than with community state type determined by Lactobacillus species. PTB was associated with less than 90% of Lactobacillus abundance and an increase in Ureplasma parvum in the second trimester. Thus, the vaginal microbiome may change in preparation for childbirth in response to multiple intrinsic factors after 37 weeks of gestation. Monitoring the Lactobacillus abundance may help improve the reliability of microbial PTB biomarkers.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
